factor,level,metric,n,mean,sd,ci,median
scale,1024,max_abs_error,5,0.0003870363142373618,1.6532081257820893e-05,2.0527290113215445e-05,0.00038669716918479646
scale,1024,mean_abs_error,5,8.348750489247452e-05,1.82632164052726e-07,2.2676778301831395e-07,8.340420425054674e-05
scale,1024,clipped_fraction,5,0.0,0.0,0.0,0.0
scale,1024,elapsed_ms_median,5,6.241180000142776,0.33251064909717576,0.41286650200332886,6.338299999697483
scale,16384,max_abs_error,5,2.439568085128574e-05,8.325170386056461e-07,1.0337064347278459e-06,2.4665227252307353e-05
scale,16384,mean_abs_error,5,5.21972192645015e-06,1.3984522783709223e-08,1.7364078472592058e-08,5.212999480750325e-06
scale,16384,clipped_fraction,5,0.0,0.0,0.0,0.0
scale,16384,elapsed_ms_median,5,6.735339999795542,0.45000364712654606,0.558753327697424,6.785899999158573
scale,262144,max_abs_error,5,1.4753105859424686e-06,6.107154151860194e-08,7.583033441845461e-08,1.4675134601752071e-06
scale,262144,mean_abs_error,5,3.2684761733310834e-07,9.895047211322896e-10,1.2286323882826217e-09,3.2706789469697414e-07
scale,262144,clipped_fraction,5,0.0,0.0,0.0,0.0
scale,262144,elapsed_ms_median,5,6.438099999650149,0.4532779661256432,0.5628189317172375,6.31240000075195
clip_bound,0.5,max_abs_error,5,1.6553312839576764,0.12526181801646305,0.1555330897805941,1.6158511692089697
clip_bound,0.5,mean_abs_error,5,0.14226070819614164,0.0002865374876357188,0.0003557832825330289,0.1423258248750845
clip_bound,0.5,clipped_fraction,5,0.5094207763671875,0.0011054483247949238,0.0013725953867725208,0.5089645385742188
clip_bound,0.5,elapsed_ms_median,5,7.656719999431516,2.3937106881376145,2.9721843835760393,6.834399999206653
clip_bound,1.0,max_abs_error,5,1.4855454417373362,0.14106684023134458,0.17515761685562325,1.4920762805435546
clip_bound,1.0,mean_abs_error,5,0.07299019065265426,0.0002850412185791317,0.0003539254191138384,0.07297525874817755
clip_bound,1.0,clipped_fraction,5,0.190057373046875,0.0011221520601196779,0.0013933358135607926,0.1898193359375
clip_bound,1.0,elapsed_ms_median,5,6.892280000101891,0.6546480821338184,0.8128529550787047,6.774900000891648
clip_bound,2.0,max_abs_error,5,1.151000633872485,0.15200577088160985,0.18874009322290536,1.0946825026056786
clip_bound,2.0,mean_abs_error,5,0.021166784736873886,0.00018928327912149292,0.00023502623314711242,0.021222418460358414
clip_bound,2.0,clipped_fraction,5,0.017327880859375,0.00010421177637354706,0.00012939601091189524,0.0173797607421875
clip_bound,2.0,elapsed_ms_median,5,6.885860000693356,0.33679905487184375,0.41819126106342325,6.993200000579236
clip_bound,8.0,max_abs_error,5,2.439568085128574e-05,8.325170386056461e-07,1.0337064347278459e-06,2.4665227252307353e-05
clip_bound,8.0,mean_abs_error,5,5.21972192645015e-06,1.3984522783709223e-08,1.7364078472592058e-08,5.212999480750325e-06
clip_bound,8.0,clipped_fraction,5,0.0,0.0,0.0,0.0
clip_bound,8.0,elapsed_ms_median,5,6.735339999795542,0.45000364712654606,0.558753327697424,6.785899999158573
chunk_size,256,max_abs_error,5,2.439568085128574e-05,8.325170386056461e-07,1.0337064347278459e-06,2.4665227252307353e-05
chunk_size,256,mean_abs_error,5,5.21972192645015e-06,1.3984522783709223e-08,1.7364078472592058e-08,5.212999480750325e-06
chunk_size,256,clipped_fraction,5,0.0,0.0,0.0,0.0
chunk_size,256,elapsed_ms_median,5,17.018020000250544,1.5001495837668013,1.8626817300836025,16.92159999947762
chunk_size,1024,max_abs_error,5,2.439568085128574e-05,8.325170386056461e-07,1.0337064347278459e-06,2.4665227252307353e-05
chunk_size,1024,mean_abs_error,5,5.21972192645015e-06,1.3984522783709223e-08,1.7364078472592058e-08,5.212999480750325e-06
chunk_size,1024,clipped_fraction,5,0.0,0.0,0.0,0.0
chunk_size,1024,elapsed_ms_median,5,8.772839999801363,0.5875667654276948,0.7295604991726061,8.635999998659827
chunk_size,4096,max_abs_error,5,2.439568085128574e-05,8.325170386056461e-07,1.0337064347278459e-06,2.4665227252307353e-05
chunk_size,4096,mean_abs_error,5,5.21972192645015e-06,1.3984522783709223e-08,1.7364078472592058e-08,5.212999480750325e-06
chunk_size,4096,clipped_fraction,5,0.0,0.0,0.0,0.0
chunk_size,4096,elapsed_ms_median,5,6.76396000017121,0.28951518619865535,0.35948058363613034,6.619900001169299
chunk_size,16384,max_abs_error,5,2.439568085128574e-05,8.325170386056461e-07,1.0337064347278459e-06,2.4665227252307353e-05
chunk_size,16384,mean_abs_error,5,5.21972192645015e-06,1.3984522783709223e-08,1.7364078472592058e-08,5.212999480750325e-06
chunk_size,16384,clipped_fraction,5,0.0,0.0,0.0,0.0
chunk_size,16384,elapsed_ms_median,5,6.509560000267811,0.5316586904586652,0.6601414552746849,6.420300000172574
chunk_size,65536,max_abs_error,5,2.439568085128574e-05,8.325170386056461e-07,1.0337064347278459e-06,2.4665227252307353e-05
chunk_size,65536,mean_abs_error,5,5.21972192645015e-06,1.3984522783709223e-08,1.7364078472592058e-08,5.212999480750325e-06
chunk_size,65536,clipped_fraction,5,0.0,0.0,0.0,0.0
chunk_size,65536,elapsed_ms_median,5,6.735339999795542,0.45000364712654606,0.558753327697424,6.785899999158573
