round,train_acc,train_loss,test_acc,test_loss,dmcfe_fedavg_max_error,dmcfe_fedavg_mean_error,dmcfe_fedrep_max_error,dmcfe_fedrep_mean_error,dropout_rate,online_clients,online_client_ids,recovery_threshold,coded_communication_rounds,secagg_baseline_rounds,recovery_error,dmcfe_weight_signatures_verified,run_id,method,seed,config_hash,matrix_id,backend,backend_secure,participation_rate,protocol_dropout_rate,coordinates,chunks,chunk_size,scale,clip_bound,clipped_fraction,encode_seconds,aggregate_seconds,total_aggregation_seconds,serialized_upload_bytes,serialized_key_bytes,recovery_bytes,peak_memory_bytes
0,0.15824468085106383,2.7743391561953588,0.15655948989282323,2.7764296909674684,,,,,,3,"993,859,298",,,,,,fedavg_seed1_50r,FedAvg,1,1a70484743cdd5ac17fd215bcfdaae273099e9c433d8c1f2d807bd672fcb0912,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
1,0.1019881940840685,2.8113794922806927,0.10297110297110297,2.8068096703369476,,,,,,3,"507,818,452",,,,,,fedavg_seed1_50r,FedAvg,1,1a70484743cdd5ac17fd215bcfdaae273099e9c433d8c1f2d807bd672fcb0912,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
2,0.18842436429683446,2.301611289068801,0.18844118844118843,2.2990684018272862,,,,,,3,"37,726,846",,,,,,fedavg_seed1_50r,FedAvg,1,1a70484743cdd5ac17fd215bcfdaae273099e9c433d8c1f2d807bd672fcb0912,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
3,0.10129086663207057,2.770292151058658,0.10052910052910052,2.7645608449811903,,,,,,3,"642,762,909",,,,,,fedavg_seed1_50r,FedAvg,1,1a70484743cdd5ac17fd215bcfdaae273099e9c433d8c1f2d807bd672fcb0912,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
4,0.13082187337830825,2.4763567662663992,0.13349613349613348,2.47078791469752,,,,,,3,"698,577,763",,,,,,fedavg_seed1_50r,FedAvg,1,1a70484743cdd5ac17fd215bcfdaae273099e9c433d8c1f2d807bd672fcb0912,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
5,0.09154449922158796,4.8093712407196,0.09333876000542667,4.827657237812374,,,,,,3,"544,515,193",,,,,,fedavg_seed1_50r,FedAvg,1,1a70484743cdd5ac17fd215bcfdaae273099e9c433d8c1f2d807bd672fcb0912,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
6,0.21805267254800206,2.178241729919016,0.21516754850088182,2.174843200631647,,,,,,3,"978,22,909",,,,,,fedavg_seed1_50r,FedAvg,1,1a70484743cdd5ac17fd215bcfdaae273099e9c433d8c1f2d807bd672fcb0912,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
7,0.3231058640373638,2.073552868865937,0.32275132275132273,2.0678450879709738,,,,,,3,"778,334,271",,,,,,fedavg_seed1_50r,FedAvg,1,1a70484743cdd5ac17fd215bcfdaae273099e9c433d8c1f2d807bd672fcb0912,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
8,0.18265114167099117,3.1007991240454813,0.18613485280151948,3.1000344279934677,,,,,,3,"908,265,627",,,,,,fedavg_seed1_50r,FedAvg,1,1a70484743cdd5ac17fd215bcfdaae273099e9c433d8c1f2d807bd672fcb0912,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
9,0.10448559937727037,6.143559750828987,0.10541310541310542,6.162577928533015,,,,,,3,"2,879,57",,,,,,fedavg_seed1_50r,FedAvg,1,1a70484743cdd5ac17fd215bcfdaae273099e9c433d8c1f2d807bd672fcb0912,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
