round,train_acc,train_loss,test_acc,test_loss,dmcfe_fedavg_max_error,dmcfe_fedavg_mean_error,dmcfe_fedrep_max_error,dmcfe_fedrep_mean_error,dropout_rate,online_clients,online_client_ids,recovery_threshold,coded_communication_rounds,secagg_baseline_rounds,recovery_error,dmcfe_weight_signatures_verified,run_id,method,seed,config_hash,matrix_id,backend,backend_secure,participation_rate,protocol_dropout_rate,coordinates,chunks,chunk_size,scale,clip_bound,clipped_fraction,encode_seconds,aggregate_seconds,total_aggregation_seconds,serialized_upload_bytes,serialized_key_bytes,recovery_bytes,peak_memory_bytes
0,0.16231512714063312,2.447660428771027,0.16144349477682812,2.447200599906726,,,3.026541562216118e-05,9.195724462851914e-06,,3,"993,859,298",,,,,3,fedrep_reference_seed2_50r,FedRep+FixedPointReference,2,89bc208c8645183c08f41aa44a8c0ca7b2a67bd6c52baa3e5476202914136a83,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.04584810000000772,0.013880799999995475,0.07803310000000607,,,,
1,0.12454592631032693,2.7428198855953387,0.12304978971645639,2.7405166135255103,,,3.027511903872849e-05,6.0692652027553165e-06,,3,"507,818,452",,,,,3,fedrep_reference_seed2_50r,FedRep+FixedPointReference,2,89bc208c8645183c08f41aa44a8c0ca7b2a67bd6c52baa3e5476202914136a83,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.044135299999986444,0.011143399999994585,0.0756214999999969,,,,
2,0.18117540217955372,2.3567709173904716,0.17921584588251255,2.356490690176724,,,2.999787440870044e-05,4.926437811340564e-06,,3,"37,726,846",,,,,3,fedrep_reference_seed2_50r,FedRep+FixedPointReference,2,89bc208c8645183c08f41aa44a8c0ca7b2a67bd6c52baa3e5476202914136a83,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.038383700000011345,0.011358599999994112,0.06881490000000667,,,,
3,0.1762616761805916,2.4854032173140803,0.17501017501017502,2.4825070991459186,,,3.0348622194916386e-05,6.879425138102731e-06,,3,"642,762,909",,,,,3,fedrep_reference_seed2_50r,FedRep+FixedPointReference,2,89bc208c8645183c08f41aa44a8c0ca7b2a67bd6c52baa3e5476202914136a83,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.07578050000000758,0.011026700000030587,0.10392109999999377,,,,
4,0.1645530617540218,2.594235230748307,0.16334283000949668,2.5898360865456715,,,3.0196737498044968e-05,5.083297936379215e-06,,3,"698,577,763",,,,,3,fedrep_reference_seed2_50r,FedRep+FixedPointReference,2,89bc208c8645183c08f41aa44a8c0ca7b2a67bd6c52baa3e5476202914136a83,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.03710989999999015,0.009098700000023996,0.06234550000000638,,,,
5,0.15391476388168138,2.53522420323933,0.15153981820648488,2.533252960175332,,,3.0358079351296946e-05,9.645809603444296e-06,,3,"544,515,193",,,,,3,fedrep_reference_seed2_50r,FedRep+FixedPointReference,2,89bc208c8645183c08f41aa44a8c0ca7b2a67bd6c52baa3e5476202914136a83,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.0426217000000122,0.009246400000023414,0.07003670000000284,,,,
6,0.18042942397509082,2.5204359023193463,0.1785375118708452,2.5192642121781343,,,3.043310716748238e-05,4.57500130205992e-06,,3,"978,22,909",,,,,3,fedrep_reference_seed2_50r,FedRep+FixedPointReference,2,89bc208c8645183c08f41aa44a8c0ca7b2a67bd6c52baa3e5476202914136a83,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.04039750000001163,0.009008899999983555,0.11016639999999711,,,,
7,0.1862837311883757,2.4048257372376787,0.18572785239451906,2.40321003834172,,,3.0258333246255752e-05,4.9139138548044655e-06,,3,"778,334,271",,,,,3,fedrep_reference_seed2_50r,FedRep+FixedPointReference,2,89bc208c8645183c08f41aa44a8c0ca7b2a67bd6c52baa3e5476202914136a83,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.04100170000000958,0.009876199999979463,0.07156789999999091,,,,
8,0.17596977166580177,2.468824402650576,0.1755528422195089,2.4672647634933784,,,3.0239029177304012e-05,6.8985174750273194e-06,,3,"908,265,627",,,,,3,fedrep_reference_seed2_50r,FedRep+FixedPointReference,2,89bc208c8645183c08f41aa44a8c0ca7b2a67bd6c52baa3e5476202914136a83,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.03704309999994848,0.010682199999990871,0.0644766000000061,,,,
9,0.1889433056564608,2.5614681229936087,0.18749152082485415,2.5603497239736797,,,3.04585153341883e-05,9.258541131040678e-06,,3,"2,879,57",,,,,3,fedrep_reference_seed2_50r,FedRep+FixedPointReference,2,89bc208c8645183c08f41aa44a8c0ca7b2a67bd6c52baa3e5476202914136a83,aa8854cd2e503503,chunked-reference,False,0.003,,1198592,23,65536,16384,8.0,0.0,0.03641540000003829,0.00995910000003164,0.06457759999997847,,,,
