round,train_acc,train_loss,test_acc,test_loss,dmcfe_fedavg_max_error,dmcfe_fedavg_mean_error,dmcfe_fedrep_max_error,dmcfe_fedrep_mean_error,dropout_rate,online_clients,online_client_ids,recovery_threshold,coded_communication_rounds,secagg_baseline_rounds,recovery_error,dmcfe_weight_signatures_verified,run_id,method,seed,config_hash,matrix_id,backend,backend_secure,participation_rate,protocol_dropout_rate,coordinates,chunks,chunk_size,scale,clip_bound,clipped_fraction,encode_seconds,aggregate_seconds,total_aggregation_seconds,serialized_upload_bytes,serialized_key_bytes,recovery_bytes,peak_memory_bytes
0,0.13524909185262066,2.5733707725806485,0.1339031339031339,2.5762891100140637,,,,,,3,"993,859,298",,,,,,fedrep_seed1_50r,FedRep,1,47b32ed30e84e2e8c485b7a8a62d494a3388426e77d0703f91571e03a5ba84fc,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
1,0.1339841722885314,2.6718484037519508,0.13105413105413105,2.674556990274499,,,,,,3,"507,818,452",,,,,,fedrep_seed1_50r,FedRep,1,47b32ed30e84e2e8c485b7a8a62d494a3388426e77d0703f91571e03a5ba84fc,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
2,0.10263687078360145,2.5185855484299964,0.10120743454076787,2.5189748877037044,,,,,,3,"37,726,846",,,,,,fedrep_seed1_50r,FedRep,1,47b32ed30e84e2e8c485b7a8a62d494a3388426e77d0703f91571e03a5ba84fc,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
3,0.1272379346133887,2.5163250771282444,0.1264414597747931,2.5153355734320963,,,,,,3,"642,762,909",,,,,,fedrep_seed1_50r,FedRep,1,47b32ed30e84e2e8c485b7a8a62d494a3388426e77d0703f91571e03a5ba84fc,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
4,0.13531395952257394,2.5510391764899065,0.13458146791480124,2.5492243235105736,,,,,,3,"698,577,763",,,,,,fedrep_seed1_50r,FedRep,1,47b32ed30e84e2e8c485b7a8a62d494a3388426e77d0703f91571e03a5ba84fc,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
5,0.13578425012973533,2.464376309362641,0.135666802333469,2.4659637975674658,,,,,,3,"544,515,193",,,,,,fedrep_seed1_50r,FedRep,1,47b32ed30e84e2e8c485b7a8a62d494a3388426e77d0703f91571e03a5ba84fc,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
6,0.18506746237675142,2.356472767990332,0.18409985076651744,2.3563146994580224,,,,,,3,"978,22,909",,,,,,fedrep_seed1_50r,FedRep,1,47b32ed30e84e2e8c485b7a8a62d494a3388426e77d0703f91571e03a5ba84fc,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
7,0.163612480539699,2.404046959103956,0.16252882919549586,2.4075393966030068,,,,,,3,"778,334,271",,,,,,fedrep_seed1_50r,FedRep,1,47b32ed30e84e2e8c485b7a8a62d494a3388426e77d0703f91571e03a5ba84fc,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
8,0.14710365853658536,2.6709706185644637,0.14719848053181386,2.6765931549968114,,,,,,3,"908,265,627",,,,,,fedrep_seed1_50r,FedRep,1,47b32ed30e84e2e8c485b7a8a62d494a3388426e77d0703f91571e03a5ba84fc,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
9,0.17631032693305657,2.503783198055492,0.17609550942884275,2.507376106172378,,,,,,3,"2,879,57",,,,,,fedrep_seed1_50r,FedRep,1,47b32ed30e84e2e8c485b7a8a62d494a3388426e77d0703f91571e03a5ba84fc,aa8854cd2e503503,plaintext,False,0.003,,,,,,,,,,,,,,
