round,train_acc,train_loss,test_acc,test_loss,dmcfe_fedavg_max_error,dmcfe_fedavg_mean_error,dmcfe_fedrep_max_error,dmcfe_fedrep_mean_error,dropout_rate,online_clients,online_client_ids,recovery_threshold,coded_communication_rounds,secagg_baseline_rounds,recovery_error,dmcfe_weight_signatures_verified
0,0.27563894654904,2.203983048469091,0.2771672771672772,2.2067280877657005,,,2.90904188497536e-05,1.005247205433493e-05,0.997,3,"993,859,298",2,1,,2.90904188497536e-05,3
1,0.3131973274519979,2.154051752847034,0.3137973137973138,2.157071779288878,,,2.8959361728853853e-05,8.160372945263791e-06,0.997,3,"507,818,452",2,1,,2.8959361728853853e-05,3
2,0.3520530617540218,2.093800175895399,0.35069868403201737,2.096765294519439,,,3.0328323191497475e-05,7.346987182482518e-06,0.997,3,"37,726,846",2,1,,3.0328323191497475e-05,3
0,0.2756713803840166,2.203991469050906,0.2771672771672772,2.2067349103101637,,,3.0227465686039068e-05,1.0596337233437225e-05,0.997,3,"993,859,298",3,1,,3.0227465686039068e-05,3
1,0.31314867669953295,2.1540776971315836,0.3137973137973138,2.157098683079682,,,3.0047418476897292e-05,8.39796120999381e-06,0.997,3,"507,818,452",3,1,,3.0047418476897292e-05,3
2,0.3521503632589517,2.0937909739291114,0.3509700176366843,2.096759641684795,,,3.03279775835108e-05,8.775509741099086e-06,0.997,3,"37,726,846",3,1,,3.03279775835108e-05,3
3,0.3969901401141671,2.025330759178447,0.4000814000814001,2.0261827980771736,,,3.015029324160423e-05,9.568677342031151e-06,0.997,3,"642,762,909",3,1,,3.015029324160423e-05,3
4,0.4163855734302024,1.9882737930543184,0.41893908560575227,1.9888549044560486,,,2.9928698495496064e-05,9.209097697748803e-06,0.997,3,"698,577,763",3,1,,2.9928698495496064e-05,3
5,0.4721717695900363,1.9121094408655175,0.4752408085741419,1.9131410927067634,,,3.0372464607353322e-05,1.3600360944110435e-05,0.997,3,"544,515,193",3,1,,3.0372464607353322e-05,3
6,0.4708744161909704,1.885041105541445,0.46967846967846966,1.8855417353198238,,,2.9735081625403836e-05,7.485440619348083e-06,0.997,3,"978,22,909",3,1,,2.9735081625403836e-05,3
7,0.5519427867151012,1.8276972624177372,0.5504002170668837,1.8275338680743807,,,3.0230105039663613e-05,8.242703188443556e-06,0.997,3,"778,334,271",3,1,,3.0230105039663613e-05,3
8,0.5859496626881162,1.7744804093006832,0.5900149233482567,1.7733821345991267,,,3.0067974876146764e-05,1.0072460099763703e-05,0.997,3,"908,265,627",3,1,,3.0067974876146764e-05,3
9,0.592598598858329,1.7209990593112394,0.5991045991045991,1.7182126860158942,,,3.0332941605593078e-05,1.4368652045959607e-05,0.997,3,"2,879,57",3,1,,3.0332941605593078e-05,3
