seed,dimension,modulus_bits,setup_seconds,keygen_seconds
0,1,256,0.000549600000000261,1.2699999999199463e-05
1,1,256,0.0011872999999997802,1.259999999980721e-05
2,1,256,0.0017804000000003484,1.380000000050785e-05
3,1,256,0.0006915000000002891,1.4099999999572788e-05
4,1,256,0.00038919999999986743,1.1399999999994748e-05
0,8,256,0.0007917000000006169,1.2200000000461841e-05
1,8,256,0.000620299999999574,1.2400000000134526e-05
2,8,256,0.0008797999999998751,1.8299999999804584e-05
3,8,256,0.0010329999999996176,1.1900000000508726e-05
4,8,256,0.0013057999999999126,1.2500000000414957e-05
0,32,256,0.0008395999999999404,1.3399999999386125e-05
1,32,256,0.0006664000000000669,1.5799999999899228e-05
2,32,256,0.0005663999999994118,1.6200000000132775e-05
3,32,256,0.0010960999999998222,2.1000000000270802e-05
4,32,256,0.001160000000000494,1.039999999985497e-05
