dimension,clients,modulus_bits,seeds,repeats_per_seed,metric,unit,mean_seed_median,sd_seed_median
1,3,256,5,7,prepare_encryption_seconds,seconds,0.00011478000000035849,4.3012753922378934e-05
1,3,256,5,7,encryption_seconds,seconds,4.860000000306286e-06,3.9749213817277785e-07
1,3,256,5,7,derive_key_seconds,seconds,1.1000000000649378e-06,1.414213560058623e-07
1,3,256,5,7,prepare_decryption_seconds,seconds,7.704000000021693e-05,1.5852444605784958e-06
1,3,256,5,7,decryption_seconds,seconds,2.278000000028868e-05,1.068644000749919e-06
1,3,256,5,7,payload_encode_seconds,seconds,3.160000000335117e-06,1.3416407882762276e-07
1,3,256,5,7,round_seconds,seconds,0.00022697999999987672,4.4198382323202935e-05
1,3,256,5,7,ciphertext_payload_bytes,bytes,192.0,0.0
1,3,256,5,7,derived_key_payload_bytes,bytes,3.8,0.4472135954999579
1,3,256,5,7,setup_seconds,seconds,0.0009196000000001092,0.0005663244873745744
1,3,256,5,7,keygen_seconds,seconds,1.2919999999816412e-05,1.0756393448058211e-06
8,3,256,5,7,prepare_encryption_seconds,seconds,0.0001709399999999306,3.820082459846546e-05
8,3,256,5,7,encryption_seconds,seconds,2.9720000000033055e-05,1.4463747789251002e-06
8,3,256,5,7,derive_key_seconds,seconds,1.240000000279906e-06,1.1401754247911189e-07
8,3,256,5,7,prepare_decryption_seconds,seconds,6.118000000014945e-05,2.33292091590117e-05
8,3,256,5,7,decryption_seconds,seconds,0.00019070000000009912,7.909171890947248e-06
8,3,256,5,7,payload_encode_seconds,seconds,9.140000000051885e-06,4.3931765242525104e-07
8,3,256,5,7,round_seconds,seconds,0.0004844600000000199,3.180759343307146e-05
8,3,256,5,7,ciphertext_payload_bytes,bytes,1536.0,0.0
8,3,256,5,7,derived_key_payload_bytes,bytes,3.8,0.4472135954999579
8,3,256,5,7,setup_seconds,seconds,0.0009261199999999192,0.0002594804366421283
8,3,256,5,7,keygen_seconds,seconds,1.3460000000264926e-05,2.7153268677212416e-06
32,3,256,5,7,prepare_encryption_seconds,seconds,0.00018343999999981264,1.2157631348418609e-05
32,3,256,5,7,encryption_seconds,seconds,0.00010854000000009023,5.821340052072977e-06
32,3,256,5,7,derive_key_seconds,seconds,1.3800000001396028e-06,2.58843582133351e-07
32,3,256,5,7,prepare_decryption_seconds,seconds,4.117999999984079e-05,1.4934423323259733e-05
32,3,256,5,7,decryption_seconds,seconds,0.0007283599999997392,7.127792785977209e-05
32,3,256,5,7,payload_encode_seconds,seconds,2.6579999999931658e-05,1.7398275775145643e-06
32,3,256,5,7,round_seconds,seconds,0.0011319999999999553,0.00011013026377893412
32,3,256,5,7,ciphertext_payload_bytes,bytes,6144.0,0.0
32,3,256,5,7,derived_key_payload_bytes,bytes,4.0,0.0
32,3,256,5,7,setup_seconds,seconds,0.000865699999999947,0.00025965305698207047
32,3,256,5,7,keygen_seconds,seconds,1.535999999990878e-05,3.90998721248018e-06
