seed,dimension,trial,clients,modulus_bits,max_abs_error,prepare_encryption_seconds,encryption_seconds,derive_key_seconds,prepare_decryption_seconds,decryption_seconds,payload_encode_seconds,round_seconds,ciphertext_payload_bytes,derived_key_payload_bytes
0,1,0,3,256,0,7.430000000052672e-05,5.199999999483396e-06,1.3999999994851464e-06,7.819999999991722e-05,2.299999999966218e-05,3.7999999999982492e-06,0.0001896000000005671,192,4
0,1,1,3,256,0,7.479999999926434e-05,4.699999999857596e-06,1.1000000004202093e-06,7.989999999935549e-05,2.2200000000083264e-05,3.699999999717818e-06,0.00018940000000000623,192,4
0,1,2,3,256,0,7.33999999997792e-05,4.500000000184912e-06,1.000000000139778e-06,7.780000000057186e-05,2.1799999999849717e-05,3.1000000006997652e-06,0.0001845999999998682,192,4
0,1,3,3,256,0,7.219999999996674e-05,4.299999999624049e-06,1.000000000139778e-06,7.399999999968543e-05,2.1699999999569286e-05,3.1000000006997652e-06,0.00017900000000015126,192,4
0,1,4,3,256,0,7.219999999996674e-05,4.100000000839543e-06,1.000000000139778e-06,7.719999999977745e-05,2.1699999999569286e-05,3.099999999811587e-06,0.00018209999999996285,192,4
0,1,5,3,256,0,7.300000000043383e-05,4.300000000512227e-06,1.1000000004202093e-06,7.369999999973231e-05,2.1799999999849717e-05,3.099999999811587e-06,0.00017980000000061835,192,4
0,1,6,3,256,0,7.249999999991985e-05,4.099999999951365e-06,1.000000000139778e-06,7.879999999982346e-05,2.200000000041058e-05,3.099999999811587e-06,0.00018450000000047595,192,4
1,1,0,3,256,0,0.0001747000000005272,5.50000000032469e-06,1.4999999997655777e-06,7.80999999996368e-05,2.420000000036282e-05,3.5000000000451337e-06,0.0002912999999997723,192,3
1,1,1,3,256,0,0.00020679999999995147,6.099999999342742e-06,1.600000000046009e-06,8.460000000010126e-05,3.0999999999892225e-05,3.9999999996709334e-06,0.00033840000000040504,192,3
1,1,2,3,256,0,0.00021599999999999397,5.800000000277805e-06,1.3000000000928935e-06,8.280000000038257e-05,2.4500000000315936e-05,3.699999999717818e-06,0.0003380000000001715,192,3
1,1,3,3,256,0,0.0001808999999992622,5.200000000371574e-06,1.299999999204715e-06,7.510000000010564e-05,2.410000000008239e-05,3.1000000006997652e-06,0.0002928999999998183,192,3
1,1,4,3,256,0,0.0001760000000006201,4.800000000138027e-06,1.0999999995320309e-06,7.45000000001994e-05,2.3800000000129273e-05,2.9000000001389026e-06,0.0002855999999997749,192,3
